16852973:['ads', 'marketing collateral', 'performance reviews']
22323967:['project management', 'brochures', 'marketing materials']
33176873:['fmla eeo flsa', 'workers compensation', 'access']
27018550:['type    wpm and    key by touch', 'personnel management  and telephone inquiries specialist', 'excellent customer service skills with call quality and customer satisfaction as primary focus']
17812897:['employment law', 'access', 'excel']
11592605:['excel', 'visio', 'special events']
25824789:['project management', 'spanish', 'microsoft office suites']
15375009:['project management', 'clarify', 'employee handbooks']
11847784:['problem solve and serve as change agent to ensure that hr functions are included in organizational missions  negotiate budget revisions to include hr initiatives  ensure excellent customer service delivery', 'and monitor personnel policies and procedures', 'management consultation']
32896934:['purchasing', 'financial', 'databases']
29149998:['logistics', 'detail oriented', 'phone']
11480899:['clarify', 'purchasing', 'strategic']
23155093:['administrative support  coach  excellent communication skills', 'project management', 'project lead  researching  spanish']
11763983:['consultation', 'erp', 'kronos']
27490876:['arbitration', 'teacher', 'newsletter']
32977530:['accounts receivable', 'solomon', 'microsoft suite']
93002334:['taleo', 'share point', 'outlook']
24184357:['access', 'networking', 'government']
73077810:['logistics', 'competitive', 'protocols']
13879043:['networking', 'strategic', 'delivery']
30163002:['access', 'employee handbooks', 'office']
18827609:['project management', 'teamwork collaboration', 'branding']
25676643:['access', 'excel', 'journalism']
12786012:['employee relations', 'recruitment', 'processes']
87968870:['clarify', 'employee handbooks', 'law enforcement']
46258701:['employee performance', 'incoming calls', 'phone system']
14225422:['performance reviews', 'features', 'competitive']
29297973:['performance reviews', 'food safety', 'first aid']
18334783:['project management', 'team player', 'government']
19717385:['organisational skills', 'excellent communication skills', 'word']
49937469:['retail', 'store manager', 'employee handbooks']
18316239:['project management', 'access', 'excel']
17855844:['hub', 'kronos', 'access']
57667857:['networking', 'employee handbooks', 'databases']
17422560:['access', 'cash handling', 'excel']
32947778:['logistics', 'press releases', 'strategic']
23914451:['project management', 'employment law', 'expense control']
21265194:['employee relations', 'partner with senior management and function management', 'ada']
51769822:['sales management', 'translations', 'written communication']
19616406:['ads', 'e mail', 'brochures']
41523474:['spss software', 'identifying problems', 'excel']
59962788:['project management', 'english', 'interpersonal skills']
86184722:['kronos', 'access', 'recording']
28419173:['written communication', 'recording', 'purchasing']
18155310:['administrative financial', 'compensation', 'inventory control']
26780935:['effective communication skills', 'event management', 'ultimate software payroll and hris expertise']
34554248:['operations management', 'marketing materials', 'excel']
26202430:['access', 'silkroad   red carpet', 'advanced excel']
19867922:['access', 'notes', 'databases']
91930382:['linkedin', 'google resume search', 'github']
30646367:['performance reviews', 'tax', 'excel']
39650734:['employment law', 'access', 'hard working']
72231872:['ads', 'brochures', 'marketing materials']
13520837:['performance reviews', 'cash handling', 'council']
18422164:['quality', 'processes', 'workflow']
30862904:['contract negotiation', 'project management', 'branding']
52979663:['approach', 'arbitration', 'iso']
28828844:['performance reviews', 'quick learner', 'consultation']
21830565:[]
27523575:['people skills', 'problem solving', 'administrative management']
39081840:['beginner knowledge in content management system  cms', 'adp', 'fidelity  payroll and    k']
20925036:['excel', 'phone', 'scheduling']
15576950:['spanish', 'taking messages', 'access']
29564653:['eprise', 'excel', 'photoshop']
14886205:['sequoia', 'e mail', 'taxes']
17412079:['access', 'networking', 'excel']
16861758:['energetic work attitude', 'professional and friendly  careful and active listener  multi tasking  careful and active listener', 'sharp problem solver']
93112113:['june', 'professional human resources certification  phr']
15041689:['tv', 'director', 'policies']
80162314:['hr program project management', 'staff recruitment   retention', 'employee relations']
20993320:['rganized with attention to detail  c', 'enefits  p', 'ecords management  e']
14640322:['talent aquisition', 'documentation', 'onboarding']
26289308:['performance reviews', 'fsa', 'tax']
23408537:['utilities', 'exceptional organization', 'project management']
28808263:['public speaking', 'excellent interpersonal skills', 'analytical and statistical reporting']
18084150:['performance reviews', 'retail', 'kronos']
26671167:['detail oriented', 'accurate and detailed', 'reliable team worker']
44476983:['collaborative', 'exemplary verbal and written communication', 'hr experience in technology field']
16877897:['internet applications    have good understanding of sql', 'ess', 'requirement']
29091445:['ms office  word', 'benefits administration', 'employee relations']
25724495:['retail', 'excel', 'financial']
24508725:['hub', 'tax', 'government']
11698189:['conflict resolution', 'leadership', 'microsoft office suite']
27165830:['employee relations', 'counseling', 'advising and navigating crucial conversations']
47470864:['maintains inventory', 'employee handbooks', 'notes']
34740556:['access', 'excel', 'office']
18557164:['retail', 'listening', 'recording']
19179079:['hris ats', 'human resources management', 'recruiting events']
13376919:['office', 'network', 'policies']
26048718:['researching market trends', 'project management', 'proficient in microsoft word suite  word']
17150707:['director', 'sap', 'policies']
18297650:['logistics', 'requirement', 'net']
23510685:['spanish', 'excel', 'visio']
39970711:[]
20806155:['compensation', 'project management', 'access']
28640735:['project management', 'real estate', 'government']
15575117:['general office', 'spanish', 'phone etiquette']
27496514:['department of health', 'service level agreement', 'delivery']
14256329:['positive and confident attitude', 'basis', 'csr']
19336728:['administrative support', 'excellent communication skills', 'word']
10694288:['consultation', 'phone system', 'phone']
28175164:['and sap', 'adp', 'peoplesoft']
10399912:['incoming mail', 'audit', 'fbi']
20417897:['utilities', 'brochures', 'access']
18731098:['general office', 'logistics', 'inventory control']
30563572:['detail oriented', 'excel', 'strategic']
24402267:['performance appraisal', 'recruitment', 'leave   attendance entry   exit']
32308556:['quantitative methods', 'project management', 'logistics']
27847081:['project management', 'relevant coursework', 'detail oriented']
25150191:['e mail', 'telephone etiquette', 'team leadership']
37058472:['material organizational', 'd rendering', 'autocad drafting']
68240723:['to adhere to drop dead dates', 'while following consumers  needs trends', 'social perceptiveness   working with team and taking leadership role to maintain brand direction']
76010167:['math', 'arabic', 'access']
19164410:['microsoft office', 'microsoft excel', 'adobe illustrator']
29147100:['printer', 'microsoft powerpoint', 'fax machine']
25061645:['brochures', 'marketing materials', 'real estate']
11919526:['visio', 'google  chrome', 'docs']
81011612:['database analysis', 'business management', 'computer networking']
11722421:['cad', 'photoshop', 'catalog']
13774329:['layout', 'features', 'scheduling']
35990852:['access', 'developer', 'adobe']
36269672:[]
90066849:[]
27529455:['math', 'project management', 'supply chain']
85101052:['logistics', 'project management', 'requirement']
22567495:['course development']
10751444:['stress analysis training', 'cad', 'access']
11807040:['in design', 'pdf', 'graphic']
12415691:['eclipse', 'mysql', 'xhtml css']
38565119:['team lead', 'wwritten   verbal communication', 'retail']
21705160:['posters', 'graphic designer']
26496059:['html css coding', 'excellent workflow management', 'adobe photoshop']
29524570:['access', 'digital video', 'recording']
15936656:['swimming', 'cooking  photographing', 'playing piano']
13557622:['people skills', 'quality', 'reality']
41506705:['project management', 'laser', 'linux']
32954522:['retail', 'financial', 'phone']
44185767:['team lead', 'erp', 'government']
14014749:[]
34349255:['clients', 'sales', 'presentations']
16288901:[]
25422388:['quick learner', 'resourceful researcher', 'leadership skills']
22496394:['autocad', 'marketing', 'documentation']
38744475:['autocad', 'adobe creative suite', 'planograms']
67582956:['detail oriented', 'team player', 'microsoft word']
26676567:['and event coordinating', 'desktop publishing software  photoshop', 'strong track record of being solely responsible for marketing campaigns']
14724186:['clients', 'paint', 'sales']
10748989:['team lead', 'press', 'project management']
26924514:['project management', 'listening', 'communicator']
12674307:['merchandising', 'retail', 'sales']
23951429:['interpersonal skills', 'marketing', 'project management']
